"Category","Overheads"
"Salary Expense",16.52
"Interest Expense ",0.01
"Marketing Expense",16.79
"Rental Expense",6.96
"Overflow Expense - Retail",0.06
"Overflow Expense - Warehouse",0
"Penalty Expense",1.66
"Shipping Expense",43.42
"Human Resource Expense",14.57
